Name,Dongli Aviation Industry Zone,Huaming High-tech Industrial Zone,Shuanggang Industrial Zone,Balitai Industrial Zone,Haihe Industrial Zone,Xiaozhan Industrial Zone,Xiqing Automobile Industry Zone,Saida Industrial Park,Xiqing Xuefu Industrial Zone,Tianjin High-end Equipment Manufacturing Industrial Park,Tianjin LandPort Logistical Equipment Industrial Park,Tianjin Medicine & Medical Equipment Industrial Park,Tianjin Taiping Industrial Zone,Zhongtang Industrial Zone,Baodi Energy Saving and Environmental Protection Industrial Zone,Baodi Low Carbon Industrial Zone,Baodi Plastics Industrial Zone,Majiadian Industrial Zone,Jing-Jin Technology Valley,Jing-Jin E-commerce Industrial Park,Wuqing Automobile Industry Park,Jingbin Industrial Park,Daqiu-Zhuang Industrial Zone,Tangguan-Tun Processing Logistics Park,Jinghai International Trade Logistics Park,Ninghe Modern Industrial Zone,Panzhuang Industrial Zone,Tianjin Special Purpose Vehicle Industrial Park,Shangcang Industrial Park
High-end equipment,1,,1,,,,,,,1,,,,,,,,,,,1,1,,,,,,,
Special equipment,1,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,
Electronic information,,,1,1,1,,,1,1,,,,,,,,,,1,,,1,,,,,,,1
Electric power equipment,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automobile industry,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,
Rail transit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaceflight & aviation,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Metal products,,,,,,,,,,,,,,1,,,,1,,,,,1,1,,,,,
Plastic products,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
Building materials,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
New material,1,,,,,1,1,,,1,,,,,1,,,,1,,1,1,,,,,,,1
New energy,,,,,,,1,,,1,,,,,,1,,,,,1,,,,,,,,
Chemical industry,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
Food industry,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,1
Biopharmaceutical industry,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,
Environmental protection equipment,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,
Logistics & warehousing,,,,,,,,,1,,1,,,,,,,,,1,,,,1,,1,,,
Modern service industry,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
Software & internet technology,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
