Name,High-end equipment,Special equipment,Electronic information,Electric power equipment,Automobile industry,Rail transit,Spaceflight & aviation,Metal products,Plastic products,Building materials,New material,New energy,Chemical industry,Food industry,Biopharmaceutical industry,Environmental protection equipment,Logistics & warehousing,Modern service industry,Software & internet technology
Dongli Aviation Industry Zone,1,1,,,,,1,,,,1,,,,,,,,
Huaming High-tech Industrial Zone,,,,1,,1,1,,,,,,,,,,,,
Shuanggang Industrial Zone,1,1,1,,,,,,,,,,,,,,,,
Balitai Industrial Zone,,,1,,,,,,,,,,,,,,,,
Haihe Industrial Zone,,,1,,,,,,,,,,,,,1,,,
Xiaozhan Industrial Zone,,,,,,,,,,,1,,,,,,,,
Xiqing Automobile Industry Zone,,,,,1,,,,,,1,1,,,,,,,
Saida Industrial Park,,,1,,,,,,,,,,1,1,1,,,,
Xiqing Xuefu Industrial Zone,,,1,,,,,,,,,,,,,,1,,1
Tianjin High-end Equipment Manufacturing Industrial Park,1,,,,,,,,,,1,1,,,,,,,
Tianjin LandPort Logistical Equipment Industrial Park,,1,,,,,,,,,,,,,,,1,,
Tianjin Medicine & Medical Equipment Industrial Park,,1,,,,,,,,,,,,,1,,,,
Tianjin Taiping Industrial Zone,,1,,,,,,,,,,,,,,,,,
Zhongtang Industrial Zone,,,,,,,,1,1,,,,,,,,,,
Baodi Energy Saving and Environmental Protection Industrial Zone,,,,,,,,,,,1,,,,,1,,,
Baodi Low Carbon Industrial Zone,,1,,,,,,,,,,1,,,,,,,
Baodi Plastics Industrial Zone,,1,,,,,,,1,,,,,,,,,,
Majiadian Industrial Zone,,,,,,,,1,,,,,,,,,,,
Jing-Jin Technology Valley,,,1,,,,,,,,1,,,,1,,,,
Jing-Jin E-commerce Industrial Park,,,,,,,,,,,,,,,,,1,,1
Wuqing Automobile Industry Park,1,,,,1,,,,,,1,1,,,,,,,
Jingbin Industrial Park,1,,1,,,,,,,,1,,,,,,,1,
Daqiu-Zhuang Industrial Zone,,,,,,,,1,,,,,,,,,,,
Tangguan-Tun Processing Logistics Park,,,,,,,,1,,1,,,1,,,,1,,
Jinghai International Trade Logistics Park,,,,,,,,,,,,,,1,,,,1,
Ninghe Modern Industrial Zone,,,,,,,1,,,,,,,,,,1,,
Panzhuang Industrial Zone,,,,,,,,,,1,,,,1,,,,,
Tianjin Special Purpose Vehicle Industrial Park,,,,,1,,,,,,,,,,,,,,
Shangcang Industrial Park,,,1,,,,,,,,1,,,1,,,,,
